Module,Power,Type Name,TimeStamp,Version
HPD IGBT ,750V820A,AEP820B08TFLTMM,20240701 1:20 PM,V1.0.0
HPD IGBT ,750V820A,AEP820B08TFSTMM,20240701 1:20 PM,V1.0.0
HPD IGBT ,750V550A,AEP550B08TFLTMM,20240909 1:20 PM,V1.0.0
HPD IGBT ,750V550A,AEP550B08TSLTMM,20240909 1:20 PM,V1.0.0
HPD IGBT ,1200V380A,AEP380B12TFLTMM,20240830 1:20 PM,V1.0.0
HPD IGBT ,1200V380A,AEP380B12TFSTMM,20240830 1:20 PM,V1.0.0
IGBT ED3,1200V450A,ADP450B12TFNTMM,20240503 1:20 PM,V1.0.0
IGBT ED3,1200V600A,ADP600B12TFNTMM,20240503 1:20 PM,V1.0.0
IGBT EP2,1200V75A,APP075B12TFPPMM,20240401 1:20 PM,V0.2.0
SiC ED3,1200V450A,ADPR30B12SNTRQ,20240509 1:20 PM,V1.0.0
SiC ED3,1200V600A,ADPR30B12CSNTJJ,20240611 1:20 PM,V1.0.0